caller_id,callee_id,call_start,call_duration,call_type,cell_id,location,imei,is_fraud
4081558839400,1103049519130,2023-08-27 18:16:35,10,voice_out,CELL_130,"-2.0047,-53.5289",IMEI_851138,True
5042939960512,7389946684154,2023-09-26 19:49:28,5,sms_out,CELL_135,"-30.1530,49.1753",SWAP_2695,True
2225152032410,3928379664361,2023-01-07 10:37:00,5,sms_in,CELL_181,"56.8521,-79.0893",IMEI_240631,True
2817340763394,2535600547365,2023-09-15 08:44:19,10,sms_out,CELL_199,"57.4625,17.5935",IMEI_949058,True
8875515472121,7753793148745,2023-04-27 19:55:26,5,sms_out,CELL_128,"-35.9185,30.3718",SWAP_3187,True
1344520039260,2110276438267,2023-05-06 01:21:57,5,voice_in,CELL_155,"4.7796,-41.0985",IMEI_533719,True
0529744329404,6982905971002,2023-04-23 04:38:35,10,sms_out,CELL_188,"58.3093,-50.4561",IMEI_443059,True
3583885266488,0780907216832,2023-02-23 06:09:29,5,sms_out,CELL_112,"-54.0740,64.4110",SWAP_1275,True
9573449585912,1006221322057,2023-04-11 15:55:19,10,sms_in,CELL_152,"-89.2903,92.0725",IMEI_519002,True
7167107520573,7686306467456,2023-09-01 14:04:44,10,voice_out,CELL_199,"-71.5353,172.6654",IMEI_606609,True
9940002659153,0682167861010,2023-06-27 15:49:10,5,sms_out,CELL_102,"-12.6798,120.1267",SWAP_8899,True
1458754902697,9395133678646,2023-01-08 08:42:21,10,voice_in,CELL_186,"18.1395,126.8144",IMEI_156975,True
9250021582837,9521906893888,2023-09-16 21:18:44,10,sms_out,CELL_134,"-57.3965,-177.9170",IMEI_332453,True
2425386703547,8148093166047,2023-07-16 18:23:47,5,sms_out,CELL_198,"-57.3965,-177.9170",SWAP_1330,True
6977856351931,1626293196407,2023-02-09 06:49:15,15,sms_in,CELL_138,"8.1012,-71.6354",IMEI_300816,True
8687154317766,7340959395287,2023-10-17 23:37:18,10,sms_in,CELL_191,"27.5431,53.9323",IMEI_564923,True
2611800152011,2081839570814,2023-06-16 11:37:07,5,sms_out,CELL_106,"81.9804,133.5992",SWAP_6485,True
2143330898413,1854230953671,2023-10-18 04:44:12,5,sms_out,CELL_104,"73.8855,-95.7615",IMEI_841522,True
9718237635709,0381149762487,2023-03-08 05:31:42,10,voice_in,CELL_128,"-16.2842,-92.0851",IMEI_648757,True
5026469629784,1194418399183,2023-11-07 03:52:22,5,sms_out,CELL_159,"-79.8384,-24.4584",SWAP_4626,True
